category,pair_id,layer,cosine_sim
safe-safe,0,1,0.99609375
safe-safe,0,2,0.9921875
safe-safe,0,3,0.98828125
safe-safe,0,4,0.98828125
safe-safe,0,5,0.98046875
safe-safe,0,6,0.98828125
safe-safe,0,7,0.984375
safe-safe,0,8,0.9765625
safe-safe,0,9,0.97265625
safe-safe,0,10,0.97265625
safe-safe,0,11,0.9609375
safe-safe,0,12,0.92578125
safe-safe,0,13,0.9296875
safe-safe,0,14,0.84765625
safe-safe,0,15,0.80078125
safe-safe,0,16,0.73046875
safe-safe,0,17,0.78125
safe-safe,0,18,0.76953125
safe-safe,0,19,0.80859375
safe-safe,0,20,0.83203125
safe-safe,0,21,0.7734375
safe-safe,0,22,0.859375
safe-safe,0,23,0.86328125
safe-safe,0,24,0.8828125
safe-safe,0,25,0.91796875
safe-safe,0,26,0.9296875
safe-safe,0,27,0.94140625
safe-safe,0,28,0.94921875
safe-safe,0,29,0.94140625
safe-safe,0,30,0.93359375
safe-safe,0,31,0.859375
safe-safe,0,32,0.7421875
safe-safe,1,1,0.9921875
safe-safe,1,2,0.984375
safe-safe,1,3,0.984375
safe-safe,1,4,0.97265625
safe-safe,1,5,0.96484375
safe-safe,1,6,0.97265625
safe-safe,1,7,0.95703125
safe-safe,1,8,0.921875
safe-safe,1,9,0.90234375
safe-safe,1,10,0.91796875
safe-safe,1,11,0.88671875
safe-safe,1,12,0.8984375
safe-safe,1,13,0.8828125
safe-safe,1,14,0.82421875
safe-safe,1,15,0.76953125
safe-safe,1,16,0.74609375
safe-safe,1,17,0.71484375
safe-safe,1,18,0.78515625
safe-safe,1,19,0.7890625
safe-safe,1,20,0.828125
safe-safe,1,21,0.8125
safe-safe,1,22,0.87109375
safe-safe,1,23,0.87890625
safe-safe,1,24,0.90625
safe-safe,1,25,0.93359375
safe-safe,1,26,0.9453125
safe-safe,1,27,0.953125
safe-safe,1,28,0.953125
safe-safe,1,29,0.953125
safe-safe,1,30,0.94921875
safe-safe,1,31,0.91015625
safe-safe,1,32,0.5625
safe-safe,2,1,0.9921875
safe-safe,2,2,0.984375
safe-safe,2,3,0.984375
safe-safe,2,4,0.96875
safe-safe,2,5,0.9375
safe-safe,2,6,0.95703125
safe-safe,2,7,0.9453125
safe-safe,2,8,0.8984375
safe-safe,2,9,0.921875
safe-safe,2,10,0.91015625
safe-safe,2,11,0.90625
safe-safe,2,12,0.9140625
safe-safe,2,13,0.91015625
safe-safe,2,14,0.859375
safe-safe,2,15,0.8125
safe-safe,2,16,0.71875
safe-safe,2,17,0.734375
safe-safe,2,18,0.78125
safe-safe,2,19,0.80859375
safe-safe,2,20,0.86328125
