category,pair_id,layer,cosine_sim
unsafe-unsafe,0,1,0.99609375
unsafe-unsafe,0,2,0.98828125
unsafe-unsafe,0,3,0.99609375
unsafe-unsafe,0,4,0.9921875
unsafe-unsafe,0,5,0.9921875
unsafe-unsafe,0,6,0.99609375
unsafe-unsafe,0,7,0.98828125
unsafe-unsafe,0,8,0.9765625
unsafe-unsafe,0,9,0.97265625
unsafe-unsafe,0,10,0.97265625
unsafe-unsafe,0,11,0.97265625
unsafe-unsafe,0,12,0.96875
unsafe-unsafe,0,13,0.9765625
unsafe-unsafe,0,14,0.9609375
unsafe-unsafe,0,15,0.94140625
unsafe-unsafe,0,16,0.93359375
unsafe-unsafe,0,17,0.93359375
unsafe-unsafe,0,18,0.94140625
unsafe-unsafe,0,19,0.94921875
unsafe-unsafe,0,20,0.9375
unsafe-unsafe,0,21,0.9375
unsafe-unsafe,0,22,0.94140625
unsafe-unsafe,0,23,0.921875
unsafe-unsafe,0,24,0.9140625
unsafe-unsafe,0,25,0.91015625
unsafe-unsafe,0,26,0.91015625
unsafe-unsafe,0,27,0.90234375
unsafe-unsafe,0,28,0.90625
unsafe-unsafe,0,29,0.84765625
unsafe-unsafe,0,30,0.90234375
unsafe-unsafe,0,31,0.90625
unsafe-unsafe,0,32,0.9140625
unsafe-unsafe,1,1,0.99609375
unsafe-unsafe,1,2,0.99609375
unsafe-unsafe,1,3,0.9921875
unsafe-unsafe,1,4,0.98828125
unsafe-unsafe,1,5,0.96875
unsafe-unsafe,1,6,0.98046875
unsafe-unsafe,1,7,0.97265625
unsafe-unsafe,1,8,0.9609375
unsafe-unsafe,1,9,0.9453125
unsafe-unsafe,1,10,0.92578125
unsafe-unsafe,1,11,0.890625
unsafe-unsafe,1,12,0.8828125
unsafe-unsafe,1,13,0.8984375
unsafe-unsafe,1,14,0.82421875
unsafe-unsafe,1,15,0.80078125
unsafe-unsafe,1,16,0.76171875
unsafe-unsafe,1,17,0.76171875
unsafe-unsafe,1,18,0.74609375
unsafe-unsafe,1,19,0.79296875
unsafe-unsafe,1,20,0.796875
unsafe-unsafe,1,21,0.7421875
unsafe-unsafe,1,22,0.8125
unsafe-unsafe,1,23,0.82421875
unsafe-unsafe,1,24,0.8203125
unsafe-unsafe,1,25,0.85546875
unsafe-unsafe,1,26,0.875
unsafe-unsafe,1,27,0.89453125
unsafe-unsafe,1,28,0.90234375
unsafe-unsafe,1,29,0.90234375
unsafe-unsafe,1,30,0.90234375
unsafe-unsafe,1,31,0.828125
unsafe-unsafe,1,32,0.73046875
unsafe-unsafe,2,1,0.984375
unsafe-unsafe,2,2,0.97265625
unsafe-unsafe,2,3,0.98046875
unsafe-unsafe,2,4,0.96875
unsafe-unsafe,2,5,0.97265625
unsafe-unsafe,2,6,0.97265625
unsafe-unsafe,2,7,0.96484375
unsafe-unsafe,2,8,0.953125
unsafe-unsafe,2,9,0.94921875
unsafe-unsafe,2,10,0.94140625
unsafe-unsafe,2,11,0.9296875
unsafe-unsafe,2,12,0.92578125
unsafe-unsafe,2,13,0.94921875
unsafe-unsafe,2,14,0.921875
unsafe-unsafe,2,15,0.89453125
unsafe-unsafe,2,16,0.890625
unsafe-unsafe,2,17,0.88671875
unsafe-unsafe,2,18,0.85546875
unsafe-unsafe,2,19,0.8671875
unsafe-unsafe,2,20,0.80078125
unsafe-unsafe,2,21,0.80078125
unsafe-unsafe,2,22,0.828125
unsafe-unsafe,2,23,0.76171875
unsafe-unsafe,2,24,0.77734375
unsafe-unsafe,2,25,0.7890625
unsafe-unsafe,2,26,0.82421875
unsafe-unsafe,2,27,0.84765625
unsafe-unsafe,2,28,0.87890625
unsafe-unsafe,2,29,0.9140625
unsafe-unsafe,2,30,0.93359375
unsafe-unsafe,2,31,0.9140625
unsafe-unsafe,2,32,0.828125
unsafe-unsafe,3,1,0.9921875
unsafe-unsafe,3,2,0.9921875
unsafe-unsafe,3,3,0.98828125
unsafe-unsafe,3,4,0.984375
unsafe-unsafe,3,5,0.98046875
unsafe-unsafe,3,6,0.9765625
unsafe-unsafe,3,7,0.97265625
unsafe-unsafe,3,8,0.9609375
unsafe-unsafe,3,9,0.953125
unsafe-unsafe,3,10,0.953125
unsafe-unsafe,3,11,0.94921875
unsafe-unsafe,3,12,0.93359375
unsafe-unsafe,3,13,0.9375
unsafe-unsafe,3,14,0.90625
unsafe-unsafe,3,15,0.875
unsafe-unsafe,3,16,0.86328125
unsafe-unsafe,3,17,0.86328125
unsafe-unsafe,3,18,0.86328125
unsafe-unsafe,3,19,0.89453125
unsafe-unsafe,3,20,0.8828125
unsafe-unsafe,3,21,0.8671875
unsafe-unsafe,3,22,0.8984375
unsafe-unsafe,3,23,0.83984375
unsafe-unsafe,3,24,0.87890625
unsafe-unsafe,3,25,0.890625
unsafe-unsafe,3,26,0.9296875
unsafe-unsafe,3,27,0.93359375
unsafe-unsafe,3,28,0.9453125
unsafe-unsafe,3,29,0.9609375
unsafe-unsafe,3,30,0.95703125
unsafe-unsafe,3,31,0.9296875
unsafe-unsafe,3,32,0.78125
unsafe-unsafe,4,1,0.9921875
unsafe-unsafe,4,2,0.984375
unsafe-unsafe,4,3,0.98046875
unsafe-unsafe,4,4,0.96875
unsafe-unsafe,4,5,0.9609375
unsafe-unsafe,4,6,0.96875
unsafe-unsafe,4,7,0.953125
unsafe-unsafe,4,8,0.9296875
unsafe-unsafe,4,9,0.9296875
unsafe-unsafe,4,10,0.921875
unsafe-unsafe,4,11,0.90234375
unsafe-unsafe,4,12,0.8828125
unsafe-unsafe,4,13,0.87890625
unsafe-unsafe,4,14,0.7890625
unsafe-unsafe,4,15,0.69921875
unsafe-unsafe,4,16,0.69140625
unsafe-unsafe,4,17,0.66796875
unsafe-unsafe,4,18,0.66015625
unsafe-unsafe,4,19,0.6953125
unsafe-unsafe,4,20,0.52734375
unsafe-unsafe,4,21,0.435546875
unsafe-unsafe,4,22,0.44140625
unsafe-unsafe,4,23,0.390625
unsafe-unsafe,4,24,0.390625
unsafe-unsafe,4,25,0.4609375
unsafe-unsafe,4,26,0.62109375
unsafe-unsafe,4,27,0.6328125
unsafe-unsafe,4,28,0.703125
unsafe-unsafe,4,29,0.76171875
unsafe-unsafe,4,30,0.828125
unsafe-unsafe,4,31,0.734375
unsafe-unsafe,4,32,0.5390625
unsafe-unsafe,5,1,1.0
unsafe-unsafe,5,2,0.99609375
unsafe-unsafe,5,3,0.9921875
unsafe-unsafe,5,4,0.99609375
unsafe-unsafe,5,5,0.98828125
unsafe-unsafe,5,6,0.9921875
unsafe-unsafe,5,7,0.984375
unsafe-unsafe,5,8,0.9765625
unsafe-unsafe,5,9,0.9765625
unsafe-unsafe,5,10,0.97265625
unsafe-unsafe,5,11,0.95703125
unsafe-unsafe,5,12,0.953125
unsafe-unsafe,5,13,0.9609375
unsafe-unsafe,5,14,0.9296875
unsafe-unsafe,5,15,0.90625
unsafe-unsafe,5,16,0.875
unsafe-unsafe,5,17,0.8203125
unsafe-unsafe,5,18,0.71484375
unsafe-unsafe,5,19,0.77734375
unsafe-unsafe,5,20,0.68359375
unsafe-unsafe,5,21,0.62109375
unsafe-unsafe,5,22,0.7109375
unsafe-unsafe,5,23,0.69921875
unsafe-unsafe,5,24,0.71875
unsafe-unsafe,5,25,0.7734375
unsafe-unsafe,5,26,0.84765625
unsafe-unsafe,5,27,0.85546875
unsafe-unsafe,5,28,0.89453125
unsafe-unsafe,5,29,0.90625
unsafe-unsafe,5,30,0.9140625
unsafe-unsafe,5,31,0.87109375
unsafe-unsafe,5,32,0.70703125
unsafe-unsafe,6,1,0.99609375
unsafe-unsafe,6,2,0.984375
unsafe-unsafe,6,3,0.984375
unsafe-unsafe,6,4,0.9765625
unsafe-unsafe,6,5,0.9765625
unsafe-unsafe,6,6,0.984375
unsafe-unsafe,6,7,0.98046875
unsafe-unsafe,6,8,0.9609375
unsafe-unsafe,6,9,0.96875
unsafe-unsafe,6,10,0.96484375
unsafe-unsafe,6,11,0.953125
unsafe-unsafe,6,12,0.9453125
unsafe-unsafe,6,13,0.953125
unsafe-unsafe,6,14,0.91796875
unsafe-unsafe,6,15,0.8671875
unsafe-unsafe,6,16,0.85546875
unsafe-unsafe,6,17,0.875
unsafe-unsafe,6,18,0.86328125
unsafe-unsafe,6,19,0.87890625
unsafe-unsafe,6,20,0.859375
unsafe-unsafe,6,21,0.86328125
unsafe-unsafe,6,22,0.86328125
unsafe-unsafe,6,23,0.81640625
unsafe-unsafe,6,24,0.8125
unsafe-unsafe,6,25,0.81640625
unsafe-unsafe,6,26,0.828125
unsafe-unsafe,6,27,0.8125
unsafe-unsafe,6,28,0.875
unsafe-unsafe,6,29,0.89453125
unsafe-unsafe,6,30,0.92578125
unsafe-unsafe,6,31,0.87890625
unsafe-unsafe,6,32,0.77734375
